review,sentiment
期待期待，上映一定要去看。,1
真的很萌啊哈哈,1
衣服好华丽啊!王子能再帅点嘛,1
为啥结局要那样!!!为啥为啥为啥!!!,1
表示看不懂~,0
不知道评分为啥这么低，就冲着艾玛也要给五星啊。况且为嘛觉得里面的人都这么顺,1
所以其实就是个基佬短片,1
couldbethebest.,1
黑白,1
太棒了!太棒了!简直棒得不能言语了，国内动漫电影,1
最后钟情的偶像剧。林志颖好帅哈哈～我承认我喜欢的好男生。还有这戏让我认识了，不错的小子。【我们的纪念】我一直爱着——从她进入我的生命到她迫不及待的逃出我的生命。,1
getmoreto,1
专业卖队友,1
真的很感人的一部电影啊~不过那变态的也很可悲啦，让人对他又爱又恨啊~,1
就是很喜欢。。。,1
第六集最好看了哈哈哈,1
第一次看完，带着想要给两星，却一直睡不，半夜爬起来四星，几个月后到五星。美丽的年轻女性对性的探索，对社会的反抗和，中产阶级家庭的思想，理性，女权，自由平等，青年的困惑和尴尬，一切后是我所见到的引起共鸣的电影之一，推荐。,1
找不到这部电影存在的理由，就像《杨门》一样投错了胎，这片子即使90年代也是一部。只想说一句：谢霆锋你!,0
这部电影没有辜负我们的期望,1
小日本就是!,1
唯一的缺点就是太短!跪求王样老师啊!!!,1
看得我，最讨厌故事讲导演告诉你，你看的都是精神分裂的人想出来的故事，就算精神分裂我想也不会讲这么复杂无脑的故事吧，居然还有人投资拍，这样的电影就是拿来忽悠人的，的忽悠，然后告诉你，你个笨蛋，你被骗了，哈哈,0
电影很感人，动画效果也不错,1
编剧不要乱搞啊我还等和复合呀是,1
继续笑出腹肌,1
能放下一些东西的话，就出去吧。,1
一个关于生存，抗争，救赎的故事。youtakeityoumakeit,1
超级好看，超级帅气,1
这季拖得有点久，最后几集又是全程高能，虐翻!22230,1
没有狗血爱恨情仇的医疗剧不是好肥皂剧。。。,1
第一部追看的剧，一集熬死了。开始是为了林志颖看，后来完全被剧情吸引了,1
啊!!!,1
这一季的很多都很精彩,1
真吓人，女青年和大龄男青年们,0
超爱这里的音乐,1
相当精细了。男人们啊~~啊~,1
就算是同性恋也让人觉得很美,1
不是暑假档吗...,1
看了两三遍,1
越来越完美!渐入佳境,1
这种电影纯粹浪费资源，坚决抵制。,0
中国动画电影的新高度。不错。,1
再不可的疯子，只要勇敢，就能得到救赎。现实的世界里，谁又比谁正常。,1
是它让我认识了，从此开始了无尽的欢喜,1
!有了念XD,1
最近重温了，和格格、少年包一起是自己童年的回忆啊。虽然不那么喜欢，讨厌无厘头的喜剧，但是没理由的喜欢这部电视剧。情节很紧凑，神马的也不多，看着很舒服。的，是年轻的感觉。,1
你相信,1
好玩到爆,1
花未,1
圣诞看这个真是太棒啦~~~,1
帅哥美女云集，前的准备很，但最见功底的法庭不足。总体上还是在彰显法律的正义，在BL之前看得，当时觉得很棒，不过看了BL就觉得是了。,1
&$34;对家人也好，恋人也好，我以为能够相处下去的就是，不能把最重要的话说出口。如果成熟点，当地笑的话，就能没有麻烦的生活了。&$34;所以我很后悔可毫无办法再也回不去了,1
如果你也不腐，那好吧，这个电影卖不了你的座；如果你不喜欢60年代的音乐，那好吧，我就无法说服说音乐加分值得一看；如果你有可能变成，那好吧，赶快在老之前一个能给自己买菜送花的老头。如果你不喜欢日式电影的小清新，那好吧，我还真无法更多了。算我，就当男好了,1
国产黑色幽默鼻祖，在悲情中欢快的笑着,1
日剧一贯的温情,1
我真的不是想黑=-=侠大战我不喜欢这种的=-=.,0
，出乎意料的非常好看啊,1
最后一句亮了!,1
模仿真是绝了,1
平淡真切自由的灵魂一首老牌乡村音乐总让人有种莫名的激动感悟生活的无比美好,1
这部小清新的片子很赞，上海的气息，里上一辈的爱情，中的感情，虽然我正常，但是有些感受还是可以依稀。失恋33天弱爆了。。。,1
看完了真轻松~两人会在一起吧哈哈~,1
碰到这类电影都直接五星，谁叫我是,1
非常有意思的一部电影，讲述的是一个十七岁的少女的心路历程。青春的迷茫与家庭的因素导致其成为一个，很敏感的题材，但既看不出社会批判，也没有道德绑架，是站在17岁女孩子的角度，讲述她们的空虚与迷茫~,1
很棒的剧,1
敢不敢拍得再!,0
太垃圾，太垃圾。。。剧情差也就算了，因为编剧是王晶。。。但是和表现也这么差就很难理解，很难接受了!!!,0
上课时的幻想,1
不敢相信出自。,0
看完之后整个人都温柔了呢~~~~~,1
同样献给,1
看了以后感觉自己萌萌哒。,1
最后那句台词太搞了吧!,0
当年买第一个时候里面放的就是他的宣传片呢，竟然错过这么多年，又开始惋惜，里面有句词:;sYoumakeandyoudon&$39;tlookback.,1
人物性格和造型都和原著差距太大，而且的呢?尽剩了，15。,0
为了乡村音乐为了那颗曾经不羁的心再疯狂一次去爱.,1
一部我追一部,1
的个人魅力太强了，超爱这部片,1
去看看,1
爱冯小刚早期，不解释,1
烂片中的战斗机啊。。。,0
thisfilmisso,0
没有原著好看吧。虐其实是一种艺术，此剧显然没有好好发挥。,0
超爱这个画风，真没想到央视的文化频道会播这个，着实了,1
导演有在试图表达任何东西吗?多，的,0
感人...,1
在结尾的开头，。我真的吗。我不知道。,1
从日本飞的航飞机上看的，看完之后对美帝的棒球文化有了些了解,1
该片真心的不错大赞一个让人真正体会到了一个人的,1
主角真性感!赞一个,1
第一次那么认真地去看一部被社会定格为三级片的法国电影《》，细细品味后，越发觉得导演将社会的阴暗面叙述得如流水般细腻，对于一个被标签为“”的题材，并没有存在一点点，反而是利用主角身边的事物，把主角的内心世界刻画得更加具体，同时也暗喻了当今社会对于未成年人教育方,1
来了,1
小时候看得很欢乐~,1
这个电影很好看是由四川学院联合制作的很棒哦,1
好吧，我要被这个疯死了,1
第一次在电影院看这么高尺度的电影，不过这种淡淡的真的很动人。看完有种的感觉。,1
醉了醉了,1
我觉得每集一个故事挺不错的，不晓得怎么就被砍了,1
超级大烂片啊!!!王晶这是肿么了!!!,0
很好。文艺腔调的肯定要去追!就是TVB演员本身就少的（审美疲劳啊……）,1
我看到我想起生死在小教堂里听着而流泪我想此刻我很像她,1
看完了，越变越丑，被剧透了真的。。。他们终将分开,1
美到,1
当年还蛮喜欢那个变态角色的,1
-,1
;tperfect.,1
有点意思为什么有人喷???,1
还真是谢霆锋——你妹啊!,0
哈哈哈哈,1
第二部彻底给跪了～～～,1
带正能量的。哈哈哈。支持朱莉,1
其实很好的。你们要像待见学DV一样待见它。,1
好棒好棒好棒好棒好棒啊。,1
要,1
